Country,Country Code,Region,Date,Year,Number of MPs,Percent female MPs,Mean age,Median age,Percent MPs aged 30 or under,Percent MPs aged 35 or under,Percent MPs aged 40 or under,Percent MPs aged 41 to 60,Percent MPs aged 61 or over,Percent female MPs aged 30 or under,Percent female MPs aged 35 or under,Percent female MPs aged 40 or under,Percent female MPs aged 41 to 60,Percent female MPs aged 61 or over,Age Representation Index 30 or under (ARI 30),Age Representation Index 35 or under (ARI 35),Age Representation Index 40 or under (ARI 40),Age Representation Index 41 to 60 (ARI 41 to 60),Age Representation Index 61 or over (ARI 61 plus),Coverage MPs,Coverage Age,Coverage Gender
"Singapore","SGP","Asia","2020-07-10","2020","103","29.1","48.6","48","1","4","16.8","72.3","10.9","3.3","10","26.7","63.3","10","0.03","0.1","0.32","2.19","0.77","100","98","100"
"Slovenia","SVN","Eastern Europe","2022-04-24","2022","90","37.8","49.3","50.5","5.8","15.1","22.1","67.4","10.5","6.06","12.12","12.12","81.81","6.06","0.2","0.37","0.42","2.04","0.74","100","95.6","100"
"Solomon Islands","SLB","Pacific","2006-04-05","2006","50","0","48.1","47","2.3","2.3","15.9","79.5","4.5","0","0","0","0","0","0.08","0.06","0.30","2.40","0.32","100","88","100"
"Solomon Islands","SLB","Pacific","2019-04-03","2019","50","8","52.9","52","0","0","8.6","74.3","17.1","0","0","50","50","0","0","0","0.16","2.24","1.21","100","70","100"
"Solomon Islands","SLB","Pacific","2010-08-04","2010","50","2","47","46","2.1","4.3","10.6","85.1","4.3","0","0","0","100","0","0.07","0.1","0.2","2.57","0.3","100","94","100"
"Solomon Islands","SLB","Pacific","2001-12-05","2001","50","0","47.2","47","0","0","8.7","87","4.3","0","0","0","0","0","0","0","0.16","2.63","0.31","100","92","100"
"Solomon Islands","SLB","Pacific","1997-08-06","1997","50","2","47.3","48.5","0","5.6","16.7","77.8","5.6","0","0","0","100","0","0","0.13","0.32","2.35","0.39","100","36","100"
"South Africa","ZAF","Sub-Saharan Africa","2019-05-08","2019","400","45.5","50.5","52","5.9","13.1","22.8","57.4","19.8","5.1","11.1","21.2","59.6","19.2","0.29","0.32","0.44","1.76","1.42","100","59","100"
"Spain","ESP","Western Europe","2000-03-12","2000","350","31.7","46.8","48","4.8","13.2","25.7","69.2","5","9.8","23.5","37.9","61.4","0.8","0.16","0.32","0.49","2.10","0.36","118.9","118.9","118.9"
"Spain","ESP","Western Europe","2004-03-14","2004","350","36.6","47.8","48","5","11.8","20.3","74.2","5.5","9.6","19.2","27.4","72.6","0","0.17","0.29","0.39","2.25","0.39","114","114","114"
"Spain","ESP","Western Europe","2008-03-09","2008","350","38.3","49","50","3.9","9.4","18.2","70.9","10.9","5.1","14.6","26.6","65.8","7.6","0.13","0.23","0.35","2.16","0.77","118","118","118"
"Spain","ESP","Western Europe","2016-07-19","2016","350","40.5","48.4","49","3.1","10.7","22.1","67.4","10.4","5.7","13.2","25.8","66.7","7.5","0.1","0.26","0.42","2.05","0.74","112.3","112.3","112.3"
"Spain","ESP","Western Europe","2019-04-28","2019","350","48.2","47.8","49","3.7","11.3","23.4","67.3","11.3","3.5","12.9","24","69","7","0.13","0.27","0.45","2.05","0.66","101.4","101.4","101.4"
